country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
East Asia,"1570,123","1688,3","1605,341","1748,934","1854,365","1941,394","2661,913","3219,765","3932,72","4047,947","4122,74","4680,135","5164,748","5912,394","6416,901","7268,321","6847,586","6502,849","5955,332","6692,204","7253,835","6726,027","6750,836","7359,568","8153,114","8614,332","8991,802","9930,595","11373,93","11931,686","13616,575","15721,678","16860,509","17009,111","17744,739","17879,999","18605,031","19762,723","21592,202","22098,694","22589,355","25749,545","24935,22","24797,252","25852,52","27470,356","29087,235","30632,532","32376,988"
Eastern Europe ,"165,523","175,648","189,517","191,755","184,588","182,672","188,526","192,748","228,064","222,139","167,19","148,694","291,558","453,886","599,702","772,437","889,826","936,546","816,529","703,897","766,066","867,372","980,34","1196,876","1524,825","1865,716","2262,318","2925,6","3656,302","2860,014","3234,256","3830,313","3887,51","4068,709","3829,296","2886,271","2830,56","3304,866","3608,571","3705,673","3488,826","4150,392","4566,275","4552,871","4775,804","4972,677","5185,952","5359,798","5523,163"
Europe,"4010,918","3611,61","3497,215","3407,79","3274,057","3388,582","4559,171","5600,516","6269,995","6370,237","7801,48","8267,301","9118,769","8474,399","9110,828","10537,567","10838,187","10291,349","10465,358","10366,232","9749,804","9913,29","10837,112","13157,762","15287,213","16193,197","17499,453","20404,535","22438,513","19706,15","20026,09","22043,406","21103,478","21987,787","22338,364","19186,99","19192,74","20416,784","22025,633","21745,131","21034,747","23972,473","23844,936","25440,495","26856,175","28133,828","29368,782","30417,544","31452,045"
Middle East (Region),"365,485","429,07","416,885","424,94","421,579","423,471","430,069","519,812","549,924","626,464","884,732","625,067","404,358","425,383","473,805","533,436","615,209","661,802","666,83","781,69","968,029","917,262","732,073","820,571","980,355","1196,679","1412,002","1678,748","2107,25","1866,353","2215,199","2656,873","2631,657","2745,374","2827,483","2459,502","2488,378","2677,694","2796,814","2704,167","2337,186","2816,706","3429,919","3378,637","3534,194","3683,915","3832,075","3995,253","4162,717"
North Africa,"139,432","133,403","138,286","144,608","149,474","165,883","171,774","198,043","209,218","235,336","236,401","179,932","183,136","183,383","183,113","201,908","223,921","229,784","236,41","250,133","263,576","258,072","238,135","265,195","299,479","347,498","400,366","466,603","575,752","542,463","613,703","653,742","749,74","752,59","762,222","721,01","717,323","642,184","684,734","729,672","738,995","810,169","885,36","861,312","851,869","924,439","996,54","1074,085","1159,254"
North America,"3389,979","3841,238","3900,909","4177,174","4630,542","4955,745","5140,043","5487,108","5985,876","6497,755","6897,431","7171,698","7576,992","8004,758","8460,472","8668,52","9181,222","9804,197","10308,4","10998,673","11799,344","12186,616","12572,461","13193,433","14143,43","15214,191","16242,497","17135,025","17577,907","16894,382","17870,126","18722,417","19438,988","20119,707","20823,379","21079,203","21439,666","22420,783","23615,633","24535,014","23931,81","26735,645","29181,535","30996,431","32318,314","33615,936","34993,729","36402,242","37880,61"
Pacific Islands ,"5,934","5,899","5,647","5,542","5,345","4,997","5,442","5,713","7,235","7,171","6,958","7,917","9,022","10,051","11,092","10,507","11,229","10,908","8,637","8,462","8,228","7,514","7,536","9,3","10,747","12,324","13,607","15,37","17,94","17,116","20,354","25,206","28,953","29,274","31,592","29,89","29,287","31,98","33,791","34,344","32,362","34,645","40,732","41,79","43,754","44,692","45,609","47,324","49,17"
South America,"581,821","584,723","495,199","464,119","454,873","500,955","565,126","599,567","667,981","731,535","812,589","834,354","892,526","963,959","1147,395","1434,851","1540,019","1637,532","1616,954","1304,628","1379,194","1267,6","997,64","1074,839","1298,003","1657,232","2015,3","2506,557","3045,946","2935,45","3764,747","4404,777","4451,681","4431,533","4315,782","3523,114","3421,764","3873,394","3653,395","3481,214","2864,672","3303,953","3803,942","4099,592","4300,697","4466,855","4675,818","4938,573","5188,769"
South Asia,"260,467","276,823","286,877","302,035","303,725","327,85","345,874","382,511","410,164","417,666","447,684","407,563","432,398","429,529","483,921","538,618","581,496","608,197","616,133","650,853","667,347","682,561","716,729","833,977","966,437","1102,179","1243,166","1571,125","1602,084","1743,149","2124,149","2301,46","2334,231","2399,257","2628,329","2752,729","2992,611","3414,847","3515,871","3639,168","3469,942","4048,363","4349,113","4652,259","5042,147","5538,403","6080,43","6672,969","7319,791"
Southeast Asia,"245,909","248,004","263,685","270,473","307,009","262,444","278,035","300,722","313,32","332,892","379,151","425,595","483,684","542,702","620,973","723,15","804,334","762,354","517,092","607,022","646,756","624,995","697,924","785,67","888,476","990,673","1186,159","1415,428","1648,083","1628,814","2015,465","2342,119","2487,243","2574,92","2598,158","2524,312","2645,58","2854,03","3060,989","3244,242","3096,602","3382,675","3630,645","3864,079","4162,162","4489,182","4824,434","5174,53","5543,357"
Sub-Saharan Africa (Region) ,"326,552","342,322","343,332","318,291","255,327","231,473","264,867","291,847","311,166","324,13","416,492","423,023","421,156","421,804","410,533","503,396","563,347","587,264","589,43","433,351","440,062","423,546","457,909","574,728","706,454","835,436","964,113","1119,136","1279,262","1219,73","1446,557","1650,961","1714,317","1803,793","1888,757","1701,131","1586,653","1675,164","1797,366","1812,964","1718,794","1935,014","2060,35","1997,03","2125,758","2313,994","2501,811","2699,526","2921,876"
Western Europe,"3845,395","3435,961","3307,698","3216,035","3089,47","3205,91","4370,645","5407,768","6041,931","6148,098","7634,29","8118,607","8827,21","8020,513","8511,126","9765,13","9948,361","9354,802","9648,829","9662,335","8983,738","9045,917","9856,772","11960,886","13762,388","14327,481","15237,136","17478,935","18782,211","16846,136","16791,834","18213,094","17215,967","17919,077","18509,068","16300,718","16362,18","17111,919","18417,061","18039,457","17545,921","19822,081","19278,661","20887,624","22080,37","23161,151","24182,83","25057,746","25928,882"
Western Hemisphere (Region),"4025,176","4481,058","4453,826","4700,733","5152,072","5517,884","5764,772","6144,86","6710,724","7292,476","7770,037","8074,856","8544,101","9048,811","9696,32","10204,692","10829,968","11559,985","12053,124","12434,869","13317,63","13598,985","13721,987","14419,634","15605,223","17064,137","18468,611","19881,033","20893,711","20089,513","21920,828","23445,178","24231,102","24909,305","25516,941","24998,32","25269,004","26723,981","27716,358","28475,962","27216,117","30523,047","33537,485","35702,214","37268,811","38774,705","40406,244","42121,008","43895,481"
ASEAN-5,"208,639","229,269","239,197","233,223","242,907","234,883","228,952","241,508","278,672","318,986","363,369","406,573","460,837","515,3","588,415","682,569","758,546","714,207","467,858","553,827","587,507","564,573","633,787","712,419","798,357","885,706","1064,741","1272,741","1466,535","1441,379","1803,178","2079,166","2192,483","2256,328","2253,605","2177,837","2284,345","2462,707","2631,961","2782,267","2610,588","2885,017","3092,33","3293,498","3548,076","3821,804","4103,478","4396,853","4704,149"
Advanced economies,"8480,085","8615,588","8555,141","8901,167","9309,265","9802,613","11970,475","13920,509","15727,574","16406,027","18417,043","19667,885","21157,822","21323,519","22896,915","25361,602","25539,581","25042,303","25133,595","26467,069","26924,663","26649,847","27803,057","31190,025","34602,366","36406,987","38279,952","41817,971","44183,51","41678,288","43526,402","46728,722","46555,737","46966,138","48043,562","45448,985","46669,582","48687,919","51537,17","52035,562","51013,617","56732,906","57670,686","60929,561","63567,421","66476,44","69337,897","72052,001","74942,595"
Emerging and Developing Asia,"767,345","762,231","777,962","821,919","862,97","839,539","863,301","944,96","1054,55","1123,708","1128,895","1137,482","1287,35","1455,913","1520,268","1818,215","2059,506","2138,977","1980,376","2173,779","2334,015","2463,946","2699,261","3077,901","3570,452","4125,329","4890,638","6197,385","7455,868","8102,118","9765,185","11662,258","12857,965","14075,574","15209,149","15825,035","16273,851","17896,186","19733,726","20575,76","20827,064","24469,1","25083,664","25441,042","26961,206","28953,56","31054,105","33172,633","35446,59"
Emerging and Developing Europe,"262,119","273,513","278,435","276,722","267,23","275,499","290,862","311,675","353,096","369,866","374,699","357,096","489,201","660,233","722,674","867,779","988,507","1049,598","932,536","803,787","892,325","912,068","1034,697","1275,437","1649,149","2050,884","2449,82","3143,138","3865,429","3020,949","3528,104","4136,997","4272,225","4512,681","4248,175","3294,24","3228,013","3647,109","3807,038","3879,685","3630,081","4303,68","4795,3","4933,179","5282,345","5488,754","5704,778","5897,952","6079,233"
Emerging market and developing economies,"2751,984","2910,653","2755,162","2709,115","2715,852","2751,119","2822,684","3112,277","3428,509","3748,476","4225,998","3999,815","4193,814","4752,213","5129,63","5882,151","6573,486","6987,23","6747,675","6541,668","7178,402","7207,402","7166,107","8071,841","9588,52","11461,256","13552,985","16698,977","20042,626","19142,441","23016,007","27100,171","28722,148","30473,563","31457,218","29562,428","29595,831","32401,027","34558,493","35289,978","33947,286","39754,76","42464,675","43546,871","46166,85","49122,399","52243,096","55447,666","58840,293"
Euro area,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"6113,031","6741,787","6127,716","6472,858","7639,428","7756,971","6966,153","7132,419","7140,996","6510,788","6607,755","7209,16","8878,924","10179,549","10557,421","11217,822","12926,733","14218,632","12982,347","12709,81","13699,008","12703,854","13255,354","13572,582","11727,496","12022,245","12732,552","13767,787","13483,079","13142,633","14697,254","14150,699","15478,354","16319,886","17080,95","17761,634","18296,942","18818,898"
European Union,"3213,784","2841,605","2754,678","2693,519","2592,423","2669,607","3659,618","4484,642","4953,683","5042,513","6208,887","6618,138","7299,107","6670,985","7078,072","8285,369","8417,604","7729,525","7966,201","7927,227","7272,116","7384,238","8068,121","9917,201","11400,428","11902,764","12700,44","14719,914","16292,162","14749,561","14566,627","15763,067","14649,618","15294,84","15654,986","13554,454","13884,826","14761,536","15987,418","15694,999","15370,057","17273,296","16713,03","18351,127","19347,661","20282,928","21144,64","21844,461","22514,103"
Latin America and the Caribbean,"877,35","950,831","778,623","707,569","738,532","792,411","784,163","832,592","938,741","1055,384","1180,219","1271,93","1394,769","1574,28","1789,466","1916,353","2080,904","2279,237","2302,209","2067,436","2260,347","2208,423","1960,192","1991,751","2281,252","2767,517","3246,379","3848,363","4477,358","4138,569","5156,127","5951,774","6047,224","6117,034","6058,069","5132,412","4941,571","5493,92","5357,025","5246,161","4405,049","5099,959","5821,804","6517,251","6944,646","7239,95","7583,811","7978,826","8371,624"
Major advanced economies (G7),"6901,185","7118,285","7086,462","7477,545","7869,084","8343,034","10095,969","11605,34","13053,285","13549,224","14987,281","16054,931","17237,742","17583,37","18796,53","20503,115","20467,12","20199,621","20469,36","21580,729","22095,493","21836,188","22513,988","24852,422","27298,307","28497,678","29715,525","31917,153","33475,125","31873,396","33106,875","35201,416","35364,524","35378,008","36229,604","34777,156","35754,184","36987,977","39042,45","39731,701","38890,881","42807,203","43797,894","46295,306","48247,503","50410,719","52555,71","54593,949","56789,445"
Middle East and Central Asia,"527,714","588,285","581,559","591,099","599,786","617,744","626,892","743,168","780,507","892,241","1130,368","815,516","607,274","647,732","695,285","785,893","892,426","945,174","956,798","1076,774","1267,347","1217,693","1034,801","1176,312","1411,158","1721,203","2052,388","2455,913","3036,063","2722,039","3192,93","3773,152","3887,986","4026,749","4122,629","3682,751","3639,65","3747,143","3907,156","3820,148","3412,564","3995,072","4750,874","4698,168","4893,834","5168,551","5442,165","5743,487","6066,951"
Other advanced economies,"775,274","790,86","785,664","784,097","821,924","819,463","999,432","1230,294","1450,5","1577,606","1817,338","1930,546","2059,894","2033,362","2283,409","2691,6","2870,194","2781,24","2510,236","2688,553","2777,663","2695,053","2930,963","3377,335","3858,04","4254,145","4608,242","5270,292","5569,617","5121,17","5896,265","6736,63","6790,699","7020,222","7149,961","6577,991","6710,893","7212,805","7589,245","7451,982","7404,808","8568,574","8581,514","8800,731","9147,297","9605,214","10061,637","10511,283","10975,395"
Sub-Saharan Africa,"317,456","335,793","338,583","311,806","247,335","225,926","257,466","279,882","301,615","307,278","411,818","417,791","415,22","414,056","401,936","493,911","552,144","574,244","575,756","419,891","424,368","405,272","437,157","550,44","676,51","796,322","913,76","1054,177","1207,909","1158,766","1373,661","1575,99","1656,747","1741,525","1819,196","1627,991","1512,746","1616,67","1753,549","1768,224","1672,529","1886,949","2013,032","1957,231","2084,818","2271,584","2458,237","2654,768","2875,895"
World,"11232,069","11526,241","11310,303","11610,283","12025,117","12553,732","14793,158","17032,786","19156,083","20154,504","22643,041","23667,7","25351,636","26075,732","28026,544","31243,753","32113,067","32029,533","31881,27","33008,737","34103,065","33857,249","34969,164","39261,866","44190,886","47868,243","51832,937","58516,949","64226,136","60820,729","66542,408","73828,892","75277,885","77439,701","79500,78","75011,414","76265,413","81088,946","86095,664","87325,54","84960,903","96487,666","100135,361","104476,432","109734,27","115598,839","121580,994","127499,667","133782,888"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"�IMF, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
